SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,FLOORING_FEATURES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,NUM_STORIES,PARK_DESCRIPTION,DINNING_DESC,UTILITIES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,BATH_DESCRIPTION,LAUNDARY_FEATURES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE
MLS Listing,,Single Family Residential,6769 Tule Elk Way,Newark,CA,94560,2100000,4.0,3.0,SANCTUARY VILLAGE,2068,3619.0,2019.0,116.0,1015,143.0,Active,,,https://www.redfin.com/CA/Newark/6769-Tule-Elk-Way-94560/home/168831302,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41029183,N,Y,37.5126134,-121.9990044,2.0,"Tile, Carpet, Engineered Wood",Zoned,"Ceiling Fan(s), Zoned",NA,4,5,2.5,1015.0,1928767.0,14991.0,39,Somewhat bikeable,21,Car-dependent,,,Moderate,Moderate,Major,Minimal,"Places3 groceries, 34 restaurants, 1 parkTransit200, 212, 216, 232, 239, 251, 620, 623, 626, 628, 629, SB","Jun 28, 2023","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #41029183",2100000.0,https://www.redfin.com/CA/Newark/6769-Tule-Elk-Way-94560/home/168831302,,,,"All Public Utilities, Cable Available, Internet Available, Natural Gas Available, Natural Gas Connected, Individual Electric Meter, Individual Gas Meter","Jun 7, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41029183",1980000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For-Sale-by-Owner Listing,,Single Family Residential,37168 Walnut St,Newark,CA,94560,1680000,4.0,3.0,Newark,2282,,1940.0,23.0,736,,Active,,,https://www.redfin.com/CA/Newark/37168-Walnut-St-94560/home/1552450,FSBO.com,536705,N,Y,37.5255668,-122.0428393,,,,,3,4,5,,736.0,1626170.0,11879.0,43,Somewhat bikeable,51,Somewhat walkable,,,Minimal,Minimal,Moderate,Minimal,"Places9 groceries, 19 restaurants, 7 parksTransit200, 216, 232, 251, 620, 626, 628, 629, SB, U","Sep 8, 2023",Listed (Active)FSBO.com #536705,1680000.0,https://www.redfin.com/CA/Newark/37168-Walnut-St-94560/home/1552450,,,,,"Jul 23, 2019","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40873287",NA,"Jul 9, 2019","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40873287",799000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Home,,Single Family Residential,37220 Sand Bar Pl,Newark,CA,94560,1389880,4.0,3.5,Bridgeway - Beacon,2453,,2023.0,6.0,567,,Active,,,https://www.redfin.com/CA/Newark/37220-Sand-Bar-Pl-94560/home/175932372,NewHomeSource.com,2540537,N,Y,37.5207333,-122.0570099,,,,,3,4,5,,567.0,1386032.0,9827.0,25,Somewhat bikeable,4,Car-dependent,,,Moderate,NA,Moderate,Minimal,"Places9 groceries, 22 restaurants, 8 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U",,,,https://www.redfin.com/CA/Newark/37220-Sand-Bar-Pl-94560/home/175932372,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Home,,Single Family Residential,37207 Sand Bar Pl,Newark,CA,94560,1345880,3.0,3.5,Bridgeway - Beacon,2201,,2023.0,6.0,611,,Active,,,https://www.redfin.com/CA/Newark/37207-Sand-Bar-Pl-94560/home/175932360,NewHomeSource.com,2540536,N,Y,37.520648,-122.057675,,,,,3,4,5,,611.0,1344246.0,9516.0,24,Somewhat bikeable,0,Car-dependent,,,Minimal,NA,Moderate,Minimal,"Places7 groceries, 23 restaurants, 8 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U",,,,https://www.redfin.com/CA/Newark/37207-Sand-Bar-Pl-94560/home/175932360,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Home,,Single Family Residential,37187 Sand Bar Pl,Newark,CA,94560,1325880,3.0,3.5,Bridgeway - Beacon,2152,,2023.0,12.0,616,,Active,,,https://www.redfin.com/CA/Newark/37187-Sand-Bar-Pl-94560/home/175932352,NewHomeSource.com,2536613,N,Y,37.520834,-122.057761,,,,,3,4,5,,616.0,1325519.0,9375.0,24,Somewhat bikeable,0,Car-dependent,,,Minor,NA,Moderate,Minimal,"Places7 groceries, 23 restaurants, 8 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U",,,,https://www.redfin.com/CA/Newark/37187-Sand-Bar-Pl-94560/home/175932352,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Home,,Single Family Residential,37255 Sand Bar Pl,Newark,CA,94560,1389880,4.0,3.5,Bridgeway - Beacon,2453,,2023.0,12.0,567,,Active,,,https://www.redfin.com/CA/Newark/37255-Sand-Bar-Pl-94560/home/175932383,NewHomeSource.com,2536614,N,Y,37.5202155,-122.0575468,,,,,3,4,5,,567.0,1385009.0,9827.0,23,Somewhat bikeable,2,Car-dependent,,,Minimal,NA,Moderate,Minimal,"Places7 groceries, 21 restaurants, 8 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U",,,,https://www.redfin.com/CA/Newark/37255-Sand-Bar-Pl-94560/home/175932383,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Home,,Multi-Family (2-4 Unit),9884 Seawind Way,Newark,CA,94560,1129880,4.0,3.0,Bridgeway - Terraces,2045,,2022.0,42.0,553,,Active,,,https://www.redfin.com/CA/Newark/9884-Seawind-Way-94560/home/182724768,NewHomeSource.com,2330016,N,Y,37.521,-122.0534,,,,,3,4,5,,553.0,1101562.0,7989.0,31,Somewhat bikeable,12,Car-dependent,,,NA,NA,NA,NA,"Places10 groceries, 17 restaurants, 9 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U",,,,https://www.redfin.com/CA/Newark/9884-Seawind-Way-94560/home/182724768,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Home,,Single Family Residential,37236 Sand Bar Pl,Newark,CA,94560,1345880,3.0,3.5,Bridgeway - Beacon,2201,,2023.0,62.0,611,,Active,,,https://www.redfin.com/CA/Newark/37236-Sand-Bar-Pl-94560/home/175932379,NewHomeSource.com,2500370,N,Y,37.5204862,-122.0569998,,,,,3,4,5,,611.0,1326270.0,9516.0,25,Somewhat bikeable,4,Car-dependent,,,Minimal,NA,Moderate,Minimal,"Places9 groceries, 19 restaurants, 8 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U",,,,https://www.redfin.com/CA/Newark/37236-Sand-Bar-Pl-94560/home/175932379,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Single Family Residential,Residence 3X,Newark,CA,94560,1389880,4.0,3.5,Bridgeway - Beacon,2460,,,,565,,Active,,,https://www.redfin.com/CA/Newark/Bridgeway-Beacon/Residence-3X/home/183929052,NewHomeSource.com,Plan-242493807,N,Y,37.521,-122.0535,,,,,3,4,5,,565.0,,9827.0,31,Somewhat bikeable,12,Car-dependent,,,Minimal,NA,Moderate,Minimal,"Places10 groceries, 17 restaurants, 9 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U",,,,https://www.redfin.com/CA/Newark/Bridgeway-Beacon/Residence-3X/home/183929052,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Single Family Residential,Residence 4,Newark,CA,94560,1473880,4.0,3.5,Bridgeway - Beacon,2698,,,,546,,Active,,,https://www.redfin.com/CA/Newark/Bridgeway-Beacon/Residence-4/home/183878043,NewHomeSource.com,Plan-242493806,N,Y,37.521,-122.0535,,,,,3,4,5,,546.0,,10421.0,31,Somewhat bikeable,12,Car-dependent,,,Minimal,NA,Moderate,Minimal,"Places10 groceries, 17 restaurants, 9 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U",,,,https://www.redfin.com/CA/Newark/Bridgeway-Beacon/Residence-4/home/183878043,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Single Family Residential,Residence 3,Newark,CA,94560,1389880,4.0,3.5,Bridgeway - Beacon,2453,,,,567,,Active,,,https://www.redfin.com/CA/Newark/Bridgeway-Beacon/Residence-3/home/183884751,NewHomeSource.com,Plan-242493805,N,Y,37.521,-122.0534,,,,,3,4,5,,567.0,,9827.0,,,,,,,NA,NA,NA,NA,"Places10 groceries, 17 restaurants, 9 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U",,,,https://www.redfin.com/CA/Newark/Bridgeway-Beacon/Residence-3/home/183884751,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Single Family Residential,Residence 2,Newark,CA,94560,1345880,3.0,3.5,Bridgeway - Beacon,2201,,,,611,,Active,,,https://www.redfin.com/CA/Newark/Bridgeway-Beacon/Residence-2/home/183878531,NewHomeSource.com,Plan-242493804,N,Y,37.521,-122.0534,,,,,3,4,5,,611.0,,9516.0,,,,,,,NA,NA,NA,NA,"Places10 groceries, 17 restaurants, 9 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U",,,,https://www.redfin.com/CA/Newark/Bridgeway-Beacon/Residence-2/home/183878531,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Single Family Residential,Residence 1,Newark,CA,94560,1325880,3.0,3.5,Bridgeway - Beacon,2152,,,,616,,Active,,,https://www.redfin.com/CA/Newark/Bridgeway-Beacon/Residence-1/home/183877899,NewHomeSource.com,Plan-242493803,N,Y,37.521,-122.0534,,,,,3,4,5,,616.0,1323174.0,9375.0,,,,,,,NA,NA,NA,NA,"Places10 groceries, 17 restaurants, 9 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U",,,,https://www.redfin.com/CA/Newark/Bridgeway-Beacon/Residence-1/home/183877899,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
